Region,site,ID,Microsite,x,y,z,rdm.cov,PF
Mojave,M1,10,ephedra,185,175,120,15,Y
Mojave,M1,10,larrea,180,175,95,10,Y
Mojave,M1,10,open,,,,4,Y
Mojave,M1,11,ephedra,100,70,80,20,
Mojave,M1,11,larrea,160,125,105,10,
Mojave,M1,11,open,,,,35,
Mojave,M1,12,ephedra,185,130,80,10,
Mojave,M1,12,larrea,185,185,100,8,
Mojave,M1,12,open,,,,0,
Mojave,M1,13,ephedra,125,105,100,30,
Mojave,M1,13,larrea,230,170,165,4,
Mojave,M1,13,open,,,,0,
Mojave,M1,14,ephedra,275,210,150,25,Y
Mojave,M1,14,larrea,180,150,140,6,Y
Mojave,M1,14,open,,,,5,Y
Mojave,M1,15,ephedra,240,125,120,25,
Mojave,M1,15,larrea,280,205,200,20,
Mojave,M1,15,open,,,,3,
Mojave,M1,16,ephedra,140,120,110,15,
Mojave,M1,16,larrea,325,270,180,15,
Mojave,M1,16,open,,,,8,
Mojave,M1,17,ephedra,180,125,120,10,
Mojave,M1,17,larrea,315,210,205,15,
Mojave,M1,17,open,,,,15,
Mojave,M1,18,ephedra,160,130,70,8,Y
Mojave,M1,18,larrea,170,155,145,20,Y
Mojave,M1,18,open,,,,20,Y
Mojave,M1,19,ephedra,215,210,115,25,
Mojave,M1,19,larrea,325,245,180,5,
Mojave,M1,19,open,,,,8,
Mojave,M1,20,ephedra,160,105,110,15,
Mojave,M1,20,larrea,260,160,175,15,
Mojave,M1,20,open,,,,6,
Mojave,M1,21,ephedra,225,155,110,20,
Mojave,M1,21,larrea,195,110,160,10,
Mojave,M1,21,open,,,,4,
Mojave,M1,22,ephedra,240,225,140,10,Y
Mojave,M1,22,larrea,190,150,135,5,Y
Mojave,M1,22,open,,,,3,Y
Mojave,M1,23,ephedra,120,115,90,5,
Mojave,M1,23,larrea,250,225,190,8,
Mojave,M1,23,open,,,,0,
Mojave,M1,24,ephedra,155,140,85,20,
Mojave,M1,24,larrea,365,335,180,8,
Mojave,M1,24,open,,,,5,
Mojave,M1,25,ephedra,225,180,100,2,
Mojave,M1,25,larrea,310,270,195,8,
Mojave,M1,25,open,,,,10,
Mojave,M1,26,ephedra,150,145,95,3,Y
Mojave,M1,26,larrea,185,100,135,15,Y
Mojave,M1,26,open,,,,5,Y
Mojave,M1,27,ephedra,220,180,105,15,
Mojave,M1,27,larrea,340,335,230,10,
Mojave,M1,27,open,,,,3,
Mojave,M1,28,ephedra,190,170,115,5,
Mojave,M1,28,larrea,245,170,145,15,
Mojave,M1,28,open,,,,3,
Mojave,M1,29,ephedra,220,145,95,35,
Mojave,M1,29,larrea,425,380,175,8,
Mojave,M1,29,open,,,,0,
Mojave,M1,30,ephedra,260,145,100,30,Y
Mojave,M1,30,larrea,335,300,250,20,Y
Mojave,M1,30,open,,,,30,Y
Mojave,M2,1,ephedra,115,55,65,5,
Mojave,M2,1,larrea,465,445,485,15,
Mojave,M2,1,open,,,,3,
Mojave,M2,2,ephedra,255,210,115,10,Y
Mojave,M2,2,larrea,375,270,250,15,Y
Mojave,M2,2,open,,,,8,Y
Mojave,M2,3,ephedra,265,255,140,20,
Mojave,M2,3,larrea,390,200,205,10,
Mojave,M2,3,open,,,,0,
Mojave,M2,4,ephedra,180,180,100,25,
Mojave,M2,4,larrea,305,285,175,10,
Mojave,M2,4,open,,,,3,
Mojave,M2,5,ephedra,120,105,70,15,
Mojave,M2,5,larrea,270,255,215,20,
Mojave,M2,5,open,,,,3,
Mojave,M2,6,ephedra,200,200,110,20,Y
Mojave,M2,6,larrea,535,330,260,10,Y
Mojave,M2,6,open,,,,5,Y
Mojave,M2,7,ephedra,235,200,135,35,
Mojave,M2,7,larrea,275,195,120,12,
Mojave,M2,7,open,,,,4,
Mojave,M2,8,ephedra,305,205,130,20,
Mojave,M2,8,larrea,245,335,290,15,
Mojave,M2,8,open,,,,0,
Mojave,M2,9,ephedra,155,115,100,35,
Mojave,M2,9,larrea,310,165,145,1,
Mojave,M2,9,open,,,,0,
Mojave,M2,10,ephedra,315,180,130,20,Y
Mojave,M2,10,larrea,280,155,205,15,Y
Mojave,M2,10,open,,,,0,Y
Mojave,M2,11,ephedra,225,215,110,20,
Mojave,M2,11,larrea,295,295,165,35,
Mojave,M2,11,open,,,,6,
Mojave,M2,12,ephedra,155,135,95,10,
Mojave,M2,12,larrea,270,150,175,25,
Mojave,M2,12,open,,,,3,
Mojave,M2,13,ephedra,205,150,125,15,
Mojave,M2,13,larrea,265,195,190,30,
Mojave,M2,13,open,,,,8,
Mojave,M2,14,ephedra,220,190,110,25,Y
Mojave,M2,14,larrea,315,245,185,10,N
Mojave,M2,14,open,,,,4,Y
Mojave,M2,15,ephedra,225,225,105,25,
Mojave,M2,15,larrea,355,235,245,45,
Mojave,M2,15,open,,,,0,
Mojave,M2,16,ephedra,190,160,95,25,
Mojave,M2,16,larrea,375,350,235,55,
Mojave,M2,16,open,,,,3,
Mojave,M2,17,ephedra,165,145,115,25,
Mojave,M2,17,larrea,145,140,110,65,
Mojave,M2,17,open,,,,6,
Mojave,M2,18,ephedra,185,175,85,35,Y
Mojave,M2,18,larrea,330,240,245,15,Y
Mojave,M2,18,open,,,,3,Y
Mojave,M2,19,ephedra,245,190,115,20,
Mojave,M2,19,larrea,385,300,210,20,
Mojave,M2,19,open,,,,5,
Mojave,M2,20,ephedra,180,170,95,30,
Mojave,M2,20,larrea,305,370,205,40,
Mojave,M2,20,open,,,,8,
Mojave,M2,21,ephedra,140,115,110,2,
Mojave,M2,21,larrea,260,260,145,20,
Mojave,M2,21,open,,,,3,
Mojave,M2,22,ephedra,170,120,75,20,N
Mojave,M2,22,larrea,325,130,250,30,Y
Mojave,M2,22,open,,,,15,Y
Mojave,M2,23,ephedra,110,110,85,15,
Mojave,M2,23,larrea,280,205,215,25,
Mojave,M2,23,open,,,,10,
Mojave,M2,24,ephedra,130,80,100,25,
Mojave,M2,24,larrea,325,320,235,50,
Mojave,M2,24,open,,,,8,
Mojave,M2,25,ephedra,220,145,115,30,
Mojave,M2,25,larrea,215,170,135,20,
Mojave,M2,25,open,,,,4,
Mojave,M2,26,ephedra,130,130,110,25,Y
Mojave,M2,26,larrea,280,225,180,20,N
Mojave,M2,26,open,,,,6,Y
Mojave,M2,27,ephedra,190,185,95,25,
Mojave,M2,27,larrea,185,180,100,15,
Mojave,M2,27,open,,,,15,
Mojave,M2,28,ephedra,260,220,155,8,
Mojave,M2,28,larrea,385,375,205,15,
Mojave,M2,28,open,,,,0,
Mojave,M2,29,ephedra,110,95,70,6,
Mojave,M2,29,larrea,500,400,270,15,
Mojave,M2,29,open,,,,5,
Mojave,M2,30,ephedra,210,170,130,10,Y
Mojave,M2,30,larrea,385,380,250,0,Y
Mojave,M2,30,open,,,,8,N
Mojave,M3,1,ephedra,245,145,120,5,
Mojave,M3,1,larrea,155,130,130,15,
Mojave,M3,1,open,,,,4,
